lon,lat
-109.559501648,40.4659919733
-109.537902832,40.4715881355
-109.464355469,40.4906044016
-109.424674987,40.4955024715
-109.366813659,40.5026245122
-109.308044434,40.5088729865
-109.27935028,40.5119133
-109.190353394,40.5103607178
-109.149421691,40.5096359257
-109.095161438,40.4684638984
-109.082923889,40.4591636651
-109.117431641,40.4156951909
-109.143249512,40.3997879019
-109.186012268,40.37342453
-109.153305053,40.3331832891
-109.147796631,40.3263969426
-109.076225281,40.3051452641
-109.047248841,40.2987518319
-109.012313842,40.2910423281
-108.931785584,40.2831764227
-108.908996581,40.2809524538
-108.815444946,40.2916831965
-108.782562257,40.2954444875
-108.700904847,40.3115425109
-108.649665832,40.3216171271
-108.609146119,40.3597984317
-108.604217529,40.3644485474
-108.51248169,40.4102210995
-108.507766724,40.4089889535
-108.410690308,40.3836479187
-108.396095276,40.3808250432
-108.345046998,40.3709373468
-108.287780762,40.3476448066
-108.256462098,40.3348884584
-108.180389405,40.3115348818
-108.133926391,40.2972488405
-108.084442139,40.2625389109
-108.059867858,40.245285034
-108.007209778,40.1956825254
-107.946495056,40.119449616
-107.930664063,40.0995330818
-107.89640808,40.0390701285
-107.889465332,40.0268173217
-107.87740326,39.9516029349
-107.874092103,39.9309120178
-107.86327362,39.8631515496
-107.860534668,39.8460083
-107.831771851,39.779953003
-107.801193238,39.7095184318
-107.788764953,39.6980285643
-107.762008667,39.67327118
-107.690902711,39.6561965939
-107.670722962,39.6513442984
-107.579605103,39.6298713693
-107.573081971,39.6283340452
-107.48400879,39.5794372559
-107.440841675,39.5556831361
-107.403076172,39.5168418884
-107.376625062,39.4896087645
-107.348274232,39.4388580314
-107.32824707,39.402946472
-107.316581726,39.3536300668
-107.295883178,39.2658538826
-107.294662476,39.2606925964
-107.327484131,39.1806297306
-107.337409972,39.1563720713
-107.379486084,39.1014671329
-107.412147521,39.0587921142
-107.431076049,39.0219497684
-107.473609925,38.9390411378
-107.500858078,38.9438151764
-107.473609924,38.9390411375
-107.483673096,38.893619538
-107.503128053,38.8057250981
-107.505462647,38.7951812752
-107.511260986,38.7168312083
-107.515090943,38.6651039118
-107.51574707,38.6277542124
-107.517311096,38.5385894783
-107.51750183,38.527694703
-107.518836975,38.4494361871
-107.518997193,38.4398269658
-107.511993408,38.3638954163
-107.512832642,38.3605346674
-107.534004211,38.2758026124
-107.537101745,38.2743148795
-107.627815246,38.2306785578
-107.634498596,38.2276992791
-107.708541869,38.1946678157
-107.735038758,38.1856498714
-107.798210144,38.1641502378
-107.838050841,38.1474342336
-107.890663147,38.1253509531
-107.930229187,38.0962486257
-107.95513916,38.0779266349
-107.996871948,38.0248565682
-108.02305603,37.9456558229
-108.024620056,37.9384880067
-108.041145324,37.862670898
-108.047676085,37.8516426091
-108.067138672,37.8188018798
-108.042098998,37.7697448722
-108.015151978,37.7168540946
-108.031181335,37.6873321536
-108.047042846,37.6580924997
-108.060508727,37.6122093199
-108.058990479,37.6020851127
-108.049461365,37.5383262626
-108.019256592,37.5310935981
-108.043876648,37.5136108408
-108.046707611,37.5116002591
-108.043876647,37.5136108409
-108.01925659,37.5310935965
-107.963157653,37.5176544187
-107.947380067,37.5191078182
-107.907081605,37.5228271471
-107.842605591,37.4966621402
-107.801376343,37.4799003612
-107.735046386,37.4747123712
-107.70701599,37.4725112926
-107.635398865,37.4821586599
-107.623802186,37.4852371218
-107.563102723,37.50137329
-107.522644042,37.5232276903
-107.506576538,37.531906129
-107.41909027,37.5157165535
-107.415969849,37.514034271
-107.370826721,37.4896583559
-107.314590453,37.4774055488
-107.245414733,37.4622879039
-107.205940247,37.4717674263
-107.172821045,37.4797134395
-107.130401611,37.5104560845
-107.114807129,37.4995002757
-107.067657472,37.4663658149
-107.039718629,37.4337310785
-107.002769471,37.3905105588
-106.957229614,37.3816337575
-106.911354065,37.3726692212
-106.859230042,37.3411407458
-106.825630187,37.3207855216
-106.788978578,37.2731437678
-106.781791687,37.2637863163
-106.740600586,37.1953849797
-106.738761902,37.1933212282
-106.698143007,37.147808074
-106.665351869,37.126674653
-106.638809203,37.1095619202
-106.578857422,37.0696067815
-106.568367005,37.0626106253
-106.522384644,36.9932212832
-106.516166687,36.983833314
-106.469268799,36.9145355224
-106.449600219,36.8854331959
-106.41822815,36.835014342
-106.399475099,36.8048362723
-106.372688294,36.7534446718
-106.3443985,36.6990699779
-106.335594177,36.6694297784
-106.324035645,36.6304626452
-106.326850891,36.5812110905
-106.32788086,36.563148498
-106.338981629,36.4924354554
-106.340301514,36.4839973459
-106.394302368,36.4350967397
-106.411384583,36.4276733407
-106.492904664,36.3922157277
-106.511505126,36.3903656003
-106.573745726,36.3841819767
-106.620857238,36.3741722094
-106.694305419,36.3585281377
-106.726005555,36.3458442697
-106.789299011,36.3204994207
-106.803756715,36.2900581348
-106.819229127,36.2574539189
-106.825126647,36.2032775876
-106.829383849,36.1641311634
-106.82749176,36.1141853343
-106.825950623,36.0735130317
-106.821678162,36.0250625607
-106.816467285,35.9658584588
-106.820220947,35.9361038218
-106.827445984,35.8788566593
-106.822875977,35.8473510736
-106.813522338,35.7827262887
-106.808593751,35.7588615416
-106.790481567,35.6708106985
-106.784492493,35.6416625981
-106.783836364,35.6384506217
-106.830863954,35.5708580023
-106.831214905,35.5624046339
-106.835428285,35.5644395962
